line,l_area,l_perimeter,l_length,l_width,l_apex,l_base,t_area,t_perimeter,t_length,t_width,t_apex,t_base,r_area,r_perimeter,r_length,r_width,r_apex,r_base,leaftype
PI426038,45.82745609,33.18003691,8.572322439,7.097131052,82.08535194,95.30448687,46.91194764,34.00270548,8.781725573,7.999884268,89.18649792,105.8951721,47.70825034,34.05196607,8.17874936,7.196540376,86.21214267,95.3855543,1
PI426039,56.74761099,36.48088594,8.990977584,7.819300532,85.51260678,96.2904089,56.33365291,36.36920902,8.96976071,8.658422658,89.73539468,108.2527427,59.30375885,37.20485359,8.934648543,8.024992816,85.31610501,96.52697455,1
PI426042,51.53715108,34.61433716,8.678608817,7.491851724,85.85503679,97.84407105,48.55817215,34.27583516,8.583195404,8.265957374,92.70124661,109.9717501,51.84816188,35.21890196,8.639091775,7.559043393,84.9472108,96.62987736,1
PI426055,42.57546669,31.77230308,8.245387233,6.887258439,82.53593334,96.38123949,42.69715594,32.31785406,8.496153266,7.660654105,86.92523578,106.599319,43.55712236,32.07308128,8.040117313,6.972877843,85.56149365,98.91559848,1
PI426058,49.46600954,34.32723882,8.384544606,7.452268212,85.37055291,99.10244846,47.44965532,34.14888624,8.470991826,8.429777705,90.91256091,111.4668921,50.35799894,35.64650343,8.391717781,7.622776641,87.18212144,100.5164484,1
PI426109,41.95413418,32.52984053,7.913545448,6.782054796,84.95762683,96.11957929,41.30063393,32.49276677,8.080063288,7.454608125,92.90048241,109.4089302,41.84745738,32.44079843,7.927257669,6.760725234,83.45246345,96.31156357,1
PI426118,47.50973203,33.94968369,8.43920005,7.119249908,81.97217729,93.92876202,43.20139025,32.83255209,8.704636741,7.502085363,84.13958851,103.4285435,49.27928146,34.56267093,8.647469356,7.222923168,81.95508284,95.13988713,1
PI426127,47.04989006,34.09540965,8.321781829,7.076598775,82.34474401,96.26504724,45.26664013,33.49447711,8.657706611,7.772998341,84.58795715,105.4711056,48.18141638,34.41836667,8.186374528,7.157991446,84.80750866,98.14189062,1
PI426139,49.00013981,34.36977961,8.572479243,7.430095894,83.20727073,99.1876988,44.78441755,33.35532768,8.641911716,7.810329724,82.74118533,105.750833,50.29830374,34.85684916,8.568817544,7.453012195,82.83400334,97.86310294,1
PI426148,38.38254584,31.52205616,7.880886604,6.36729235,81.54814114,94.58715228,36.94187404,30.25257114,7.960355398,7.000647919,84.29121189,105.6789693,38.70479357,31.11672193,7.751787642,6.310838267,82.10205037,93.44935759,1
PI426149,47.98578272,33.86145714,8.309317856,7.359909992,88.20475398,100.2965829,43.37346313,32.90032055,8.441163612,7.73543828,89.22424411,107.2282984,47.66938366,34.03104607,8.362988232,7.239949008,85.97698593,98.02048243,1
PI426226,53.19831716,35.60757814,8.731682141,7.649683485,84.37286505,97.96569153,47.61382393,34.1099691,8.608034499,8.263015747,86.39924801,109.1197292,52.93359614,36.32319921,8.677727444,7.713495787,84.66217963,98.3038538,1
PI427024,39.51581889,31.46690878,8.078715423,6.360235901,76.71498894,92.62355219,39.83286744,31.28784005,8.246540499,7.015699559,88.7026968,103.7087921,40.29533558,31.50035462,8.059334421,6.406606812,81.41766845,93.41110464,1
PI427045,50.32947131,35.44381987,8.52538135,7.437343808,82.00199905,97.11662142,44.03554456,33.03208605,8.51033835,7.831027169,84.27852904,106.6836273,49.73521519,35.15090497,8.089182732,7.272997288,81.61218673,95.99933721,1
PI427048,53.43636775,35.83538331,8.790276603,7.728762156,82.46991916,97.47126941,49.84788651,35.43131292,8.807272905,8.463427688,85.25206548,108.6409429,53.78023314,36.48190864,8.702791535,7.708760865,83.36618686,96.76105663,1
PI427058,51.02942111,34.93469525,8.136574062,7.53560127,87.41713978,100.7935273,49.25824212,34.24409261,8.839146467,8.340750453,88.08354857,107.9806403,54.21731018,35.96453639,8.758685785,7.723722592,85.29951313,97.62035253,1
PI427060,51.67192173,35.05176123,8.562442325,7.651681844,82.4612927,98.14500055,47.01952693,33.74084592,8.610307008,8.215390879,83.74161915,108.7980415,51.92554907,35.46520467,8.464082641,7.684397048,84.52022747,99.81797822,1
PI674166,47.61675631,33.97962293,8.171101286,7.307254538,84.53492653,99.15910593,43.38920826,33.18281048,8.590081304,7.864530085,80.21100317,107.3677736,48.36064506,34.36580763,8.540801972,7.264164117,82.84418515,96.89420001,1
TypeRB,54.7013526,36.10175212,8.927342479,7.842773177,88.92467333,100.1051918,53.67655403,36.13689622,9.111890958,8.572542797,88.1560825,107.163336,55.57781424,36.59465243,8.953761713,7.921409668,84.94015183,98.40990812,1
