"plot","loc","year","bloc","line","l_area","l_perimeter","l_length","l_width","l_apex","l_base","t_area","t_perimeter","t_length","t_width","t_apex","t_base","r_area","r_perimeter","r_length","r_width","r_apex","r_base"
102,"aea",2021,1,"PI363506",54.4502480630814,36.0878136761954,9.09870701044797,7.65714691673771,86.9624502806261,99.4752147359093,47.723757862718,33.7222321550932,8.59398976982097,7.89705882352941,90.5416459052532,107.395786078825,54.4874625048785,35.8289604328867,9.24208143287519,7.59601449275362,86.4258283706978,97.4279680807505
1020,"bruner",2021,1,"PI426038",55.9435774039237,35.683619968258,9.56263306969,7.85394535519126,87.0217786437975,98.9146354862734,58.8408014741557,37.6104394279725,9.26996721311475,9.01169398907104,98.343976223537,110.773520092696,60.936631202365,38.3155270205274,10.032364393677,7.94430601092896,80.3114788005861,94.2588306249213
1021,"bruner",2021,1,"PI425714",46.7288568182718,32.718298956337,8.71037143035999,7.19397970839213,83.9428156776171,96.8560714893881,45.2151640869512,33.7408341495381,8.53288987435329,8.14392259625076,88.4586432049185,109.746341174739,45.900707452025,32.8428257579336,7.66320361641206,7.02913839055746,90.8021854568935,104.560419399401
1022,"bruner",2021,1,"PI425160",68.5814219930817,39.192578043718,10.5880101199908,8.420054200542,88.9213153210706,97.1078275753036,61.1462973979333,37.7026078823782,8.16260162601626,8.95934959349593,102.13891145161,116.527420565789,64.6480379844449,38.7859611598457,10.013095816881,8.29810298102981,84.5242805254314,96.3702375744973
1023,"bruner",2021,1,"PI363252",55.3125577880593,35.751198363208,9.1470908605158,7.77817082533378,89.3007968018779,97.4836456605689,49.2922800211536,34.4508796756069,8.8957375727395,8.28995197146119,94.5635110422315,108.243190124549,54.4571047541597,36.4082848363676,8.92787938576949,7.75338606522497,89.0373200887116,99.3477220665992
1025,"bruner",2021,1,"PI377265",51.8737843135322,34.3509023322734,8.31472757985446,7.50125469525451,89.4165928308749,101.736978635339,48.0259912826022,33.8963827948889,8.8807143809143,8.29834876085408,86.7419086877513,108.372904725563,49.4222721576119,34.9688619976997,8.65930287804496,7.44461677694514,82.959388133616,96.4916422279515
1026,"bruner",2021,1,"PI369795",62.6799798444221,37.7491525229584,10.5134505893833,8.26403216491181,86.3539243518122,97.0618545261105,65.3970183163296,39.0668070413486,9.97455129059487,9.63334110800124,92.2951036456643,109.701936806559,64.4974807391359,38.8848555202037,8.91680940809184,8.29285841219068,91.1986959852877,103.993887142095
1027,"bruner",2021,1,"PI362296",55.7907999072345,35.7846522985917,9.11542980752474,7.73274324678731,82.9323853465956,99.9569083098823,65.8806161198091,38.9565084729114,9.36565241716933,9.47771028936096,94.5407908413112,112.835101043951,56.3213203145874,38.2248726615889,8.79003653517067,7.77007623043972,88.3082945255693,101.652354772405
1028,"bruner",2021,1,"PI377138",47.9736680794538,33.7233133112314,7.78113008091829,7.00644700797367,97.734528950841,106.174855278969,47.0518790604064,34.6138009194593,9.45852733286851,8.02020000080776,76.6847340866437,102.609257765848,46.6761081207788,34.6009362968112,8.53706677679225,6.84404309901384,87.1168216352474,97.9653797487929
1029,"bruner",2021,1,"PI364231",77.7784911144017,43.1053766168294,11.1057794930139,9.12728242036519,97.5407727350054,105.878656737822,59.6418587399403,39.724082671326,9.51874805633302,9.40277222444356,92.8684600126573,111.19522823573,72.5940763675574,42.4565463515446,10.9871848511525,8.9820960504687,79.3010194427163,95.0618167541502
1031,"bruner",2021,1,"PI363514",38.6594747477542,30.0821923946901,7.38931987152154,6.72210179289166,91.1944214724647,102.621638558463,38.0512367150808,30.247451865048,6.69834710743802,7.57191889084587,109.179939046084,119.174585624163,40.2944729269968,31.1225113037269,7.43180622797319,6.82798175495642,87.8185506090838,102.338342706969
1032,"bruner",2021,1,"PI363459",73.7839148164198,40.7969284696501,10.0455930659082,9.30732435216914,89.9729120151668,104.657072806561,62.0070102092512,38.5344134135765,9.24480559475016,9.74593887881027,97.9617863855853,113.777957581856,71.3841072677378,40.6368678531538,10.0598433505749,8.80591670586127,88.9434401391455,101.590254231753
1033,"bruner",2021,1,"PI363359",47.4196728848043,33.0950243127374,8.403797593558,7.29767519515491,86.6697333771685,101.736067195344,45.7108182302606,33.9756854588524,8.503393624629,8.20254335541769,86.7128906084189,110.307593274661,47.8285461977658,33.1630871068799,8.27057138211818,7.45649840422254,87.5639815860077,102.532316589809
1034,"bruner",2021,1,"PI377248",38.732114463678,29.3838104245587,7.75457629383369,6.45634638706501,81.4576202902831,96.9587516336759,40.485546995047,30.9568141179926,7.26942629743328,7.40414761551761,86.8820410684869,111.517011459047,42.8396288630769,32.1965823639604,7.86515137068808,6.88436471141571,82.4456748080644,99.309671683336
1036,"bruner",2021,1,"PI413223",29.4949713119032,25.9350505728989,6.00057880499674,5.84159669465547,95.7173898417266,106.719408570085,32.2586202757335,27.5385045914951,6.4074814518637,6.56668443733618,100.765099477008,113.236575342388,30.65894968371,26.9735966960388,6.30067965871194,5.96950108845351,92.6256265323721,107.262145919729
1037,"bruner",2021,1,"PI377196",34.4588618717467,29.3340523878872,7.7137745732888,5.97267575981545,82.4165423206635,93.8735960749393,34.6032453880862,29.6798891139972,8.12163766265762,6.78698291115143,85.6775032767719,101.462438916561,34.5001556490255,29.4325960578704,7.68126664827964,5.97189186767901,85.3286343671061,95.6484828889538
1038,"bruner",2021,1,"PI425726",47.0450103032021,33.6632971761324,8.40041923847129,7.19081034252965,83.3155771243629,99.318614656743,47.4709638021319,34.7382094731307,8.18953418632547,8.41267159802746,92.6052294669884,113.382190325959,45.7101374517166,33.8540195000736,8.08910638572474,7.1755930960949,85.3323292800539,101.266838670987
1039,"bruner",2021,1,"PI425553",51.6322807876427,35.0425337452146,8.96942542394515,7.45292420666142,86.3084566622302,99.2648583395244,48.7149325324982,35.2997866074218,9.28415945449777,8.2150319083836,80.6643155636329,105.6338416602,51.0743425415,36.0680598453533,8.98871075376447,7.44112247574089,80.1298304688416,97.4930938728954
104,"aea",2021,1,"PI377297",65.8273349874929,38.4267501293098,10.4162065859606,8.2849128540305,91.7098008363567,100.161878130522,69.5842188881927,40.9483668788456,10.4690450254176,9.79509803921569,90.258150546202,108.913633801726,69.5436470857204,39.5864767474114,10.6602850723071,8.58632897603486,83.6385044677509,96.537188043933
